,Unnamed: 0,COMMAREA,White,Asian,Black,Hispanic,Pacific Islander,Native,Other,Population,Hospitals,Schools,Trains,Buses
0,0,1,155002,6369,22824,0,265,4592,19392,192610,0,7,2,7
1,1,2,93661,22021,16107,0,205,3003,16068,139958,1,10,,2
2,2,3,44316,7174,12409,0,90,1350,6646,66050,1,7,4,3
3,3,4,57326,5674,2577,0,121,1493,6409,67635,0,6,8,5
4,4,5,63432,3717,4475,0,136,1310,4659,71808,0,6,,5
5,5,6,102803,10009,5694,0,185,1486,7831,118598,1,10,8,20
6,6,7,74565,6706,3810,0,85,843,4385,84802,0,7,2,9
7,7,8,86791,14270,9942,0,153,905,5947,110687,0,8,,26
8,9,10,38026,3100,804,0,57,756,5072,43604,0,8,10,2
9,10,11,19498,3258,805,0,39,580,5044,25981,0,2,2,1
10,11,12,15909,3046,439,0,18,226,2090,19705,0,3,,1
11,12,13,9871,5078,1024,0,18,347,2862,17454,1,6,,4
12,13,14,23731,7881,3024,0,107,1952,18948,48201,0,9,6,2
13,14,15,41753,4569,2698,0,129,2294,21810,63019,0,8,,3
14,15,16,32681,5320,3203,0,116,1803,17551,52269,0,11,6,6
15,16,17,32010,2685,1451,0,67,1174,11653,42918,0,6,,4
16,17,18,7310,562,1176,0,20,854,7224,14285,0,1,,1
17,18,19,31848,2112,4281,0,202,4333,52217,78336,0,16,,3
18,20,21,21451,2185,1934,0,61,1366,15285,36301,0,9,,7
19,21,22,50956,4590,4888,0,176,2077,20609,72602,0,12,2,5
20,22,23,21067,1199,18663,0,127,2000,26031,60356,0,17,6,8
21,23,24,69526,7102,7712,0,166,1790,14884,90400,2,24,,17
22,24,25,10359,688,74453,0,78,1470,15083,96359,2,24,8,14
23,25,26,835,54,16152,0,17,205,860,17450,0,6,10,3
24,26,27,1932,177,17429,0,27,270,1265,20094,0,15,4,6
25,27,28,40304,14394,17800,0,112,875,6109,74099,1,21,8,20
26,28,29,11727,857,29074,0,44,641,4541,44051,0,19,18,5
27,29,30,26787,825,7237,0,66,4642,52259,77409,1,23,8,5
28,30,31,19579,1656,2524,0,46,2515,20802,38815,3,15,8,5
29,31,32,18052,6101,3559,0,46,316,1930,27756,1,3,2,42
30,32,33,2158,1281,1798,0,9,71,263,5124,0,4,8,7
31,33,34,1940,10094,1645,0,10,67,396,13800,0,3,6,1
32,34,35,6723,2941,14669,0,67,311,1025,24471,1,11,4,2
33,36,37,212,31,2057,0,10,32,366,2530,0,1,14,1
34,37,38,1085,174,17723,0,28,281,499,18788,1,7,34,2
35,38,39,4165,1526,13877,0,28,249,788,19307,0,7,,6
36,39,40,354,49,12168,0,10,153,199,12557,0,5,4,5
37,40,41,14937,5471,9566,0,66,420,1989,29531,1,4,,4
38,41,42,7063,1236,23206,0,40,484,1055,31288,0,7,,9
39,42,43,1963,296,49471,0,49,716,1025,51539,0,12,,10
40,43,44,4699,770,31529,0,47,373,733,36821,0,12,2,10
41,45,46,2322,97,19151,0,18,429,3407,23832,1,11,,3
42,46,47,47,12,2468,0,2,30,47,2527,0,1,2,1
43,47,48,443,74,12315,0,9,142,463,13002,0,5,4,4
44,48,49,910,125,34532,0,23,400,739,35603,1,12,,9
45,50,51,2600,68,8904,0,18,344,3765,14148,0,3,,9
46,51,52,10898,133,1242,0,40,1293,13916,21580,0,6,,1
47,55,56,23579,686,3852,0,55,1583,15435,38209,0,6,,1
48,56,57,6074,672,260,0,19,851,9287,14130,0,5,2,2
49,57,58,21805,5426,1011,0,80,2846,30157,49748,0,14,2,3
50,58,59,5897,4555,517,0,33,852,7114,16052,0,5,,2
51,59,60,16552,14760,1366,0,51,705,7344,36708,0,5,2,2
52,60,61,16495,1419,8217,0,72,1744,22101,43068,0,16,2,2
53,61,62,8329,593,442,0,15,1261,12488,18542,2,4,,1
54,62,63,13231,227,1650,0,57,2207,27883,36386,0,14,,2
55,63,64,16110,441,776,0,12,991,11470,24342,0,4,,1
56,64,65,15259,306,1329,0,48,1974,23434,33521,0,5,2,1
57,65,66,14535,329,21449,0,67,2077,26531,55854,0,10,4,7
58,66,67,1728,148,23856,0,44,620,4673,29587,0,12,2,5
59,67,68,906,78,22418,0,21,317,1295,24140,3,15,6,2
60,68,69,4035,341,30813,0,51,293,834,35091,0,11,,16
61,69,70,11877,350,18335,0,24,1510,15565,41052,0,11,,5
62,70,71,1069,178,43365,0,46,488,1076,44871,0,13,,3
63,72,73,553,86,24644,0,12,199,410,25218,0,11,,2
64,73,74,16972,208,894,0,21,261,1414,18512,0,4,,2
65,74,75,10270,355,15609,0,33,403,2126,26956,0,7,4,1
66,75,76,18471,3125,2390,0,42,364,3785,26313,0,1,8,1
67,76,77,77087,8692,10926,0,148,1774,9147,100185,0,5,,9
